Recorder,StartTime,EndTime,StartTemp,EndTemp,SheetName,Year,species,1,2,3,4,5,6,7,8,9,10,E
Matt Berry,13:28,13:58,66,66,30-Sep-04,2004,Viceroy,0,0,0,0,0,0,0,0,0,0,1
Matt Berry,13:28,13:55,72,69,7-Oct-04,2004,Cabbage White,2,1,0,0,0,0,0,2,1,0,2
Matt Berry,13:28,13:55,72,69,7-Oct-04,2004,Clouded Sulphur,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,13:28,13:55,72,69,7-Oct-04,2004,Monarch,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,13:28,13:55,72,69,7-Oct-04,2004,Orange Sulphur,0,0,0,0,0,0,0,0,1,0,0
Matt Berry,13:20,13:56,62.8,64.6,15-Apr-05,2005,Cabbage White,3,1,0,0,0,0,0,0,6,0,1
Matt Berry,14:14,14:46,65,66,5-May-05,2005,Cabbage White,0,0,0,0,1,2,0,0,1,0,0
Matt Berry,14:00,14:31,84,80,9-May-05,2005,Cabbage White,0,0,1,1,0,0,0,1,0,0,1
Matt Berry,14:00,14:31,84,80,9-May-05,2005,Wild Indigo Duskywing,0,0,0,0,0,0,0,0,0,0,1
Matt Berry,15:06,15:38,68,70,18-May-05,2005,Cabbage White,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,15:06,15:38,68,70,18-May-05,2005,Eastern Tiger Swallowtail,0,0,0,0,1,0,0,1,0,0,0
Matt Berry,15:06,15:38,68,70,18-May-05,2005,Orange Sulphur,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,15:06,15:38,68,70,18-May-05,2005,Pearl Crescent,0,0,1,0,0,0,0,1,1,0,0
Matt Berry,13:38,14:28,72,74,26-May-05,2005,Cabbage White,0,1,0,0,0,0,0,0,0,0,0
Matt Berry,13:38,14:28,72,74,26-May-05,2005,Eastern Tiger Swallowtail,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,13:38,14:28,72,74,26-May-05,2005,Pearl Crescent,1,0,2,1,0,0,0,0,0,0,2
